gold_id,gold_question,best_rank
2206,What TV shows was Shagun Sharma seen in 2019?,2
15555,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,1
561,What roles did Christian Cooke play in 2009?,46
9835,"Which track has the lowest bpm, and which has the highest on the Speed SFX series?",2
21418,When and in which club and league did Kazunari Okayama start his career?,57
8032,How much overall damage did the German submarine U-438 cause?,9
431,Who set the fastest average in Megaminx?,7
20853,What seasons did Faye appear for Hull City?,92
767,Which isotope has been reported?,8
1812,Who's the winner of the championship and who is in the second place?,439
15064,What significant career achievement did Yu make in 2011?,33
1834,How's Huang Yu-ting doing in the 2009 World Games?,10
21624,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?",1
16730,What shows did Marisol Nichols appear in during 1996?,728
10064,How did the last two finishers perform in the Women's 800 metre freestyle?,156
21159,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,3
12617,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?,297
21070,"When was ""I've Got a Feeling"" released?",51
13839,What and when were Tom Felton's first two roles?,22
20930,How many votes did Labour beat the National British Party by?,11
12516,What were the results of the 1990 Colorado gubernatorial election?,727
17544,Which player had the lowest individual score and by how much was it lower than any other player?,5
21045,"In the 86th United States Congress, What date was the end of Richard M. Simpson's service, and who was his successor?",9
10083,"What roles did Sandra Peabody play in Tarot and Annie Get Your Gun, respectively?",1
1789,How close was Texas' 21st congressional district election?,619
17067,What are all the non-Leo awards for which Rickards received a solo nomination?,1
11595,What films did Aaron Taylor-Johnson appear in in 2017 and 2018?,54
10549,What awards did Aksoy win for Love in Another Language?,1
2034,How many Best Actress Awards did Choi win in 1994 and where were they from?,172
1770,What year was Rosie Huntington-Whiteley most successful?,35
8524,Who were the top 2 finishers in the 1952 Summer Olympics – Men's 110 metres hurdles?,553
33,What movies and roles did Morris play in 1997?,410
7783,Who received the silver and bronze medals for the women's 400 metres hurdles at the 1992 Summer Olympics?,674
9853,"What is the population breakdown of Nurpur Jattan by gender, and how many houses does it have?",32
1262,What did Kathryn Beaumont star in 1953?,1005
8567,What are the total statistics of Talwandi Mehma?,875
1804,Which competitions did Fabrizio Donato win gold medal?,273
12122,"Who did Wayne Kerrins play for in the third division, and what seasons did he play for them?",178
8270,Which albums did Maylee Todd release on the Do Right Music label and in which years?,1
10502,How many males and females are there in Mithra households?,4
9243,What did Daniela Ramirez do in 2012?,2893
2255,What marathons did Feyisa Lilesa run in 2010?,1
11703,"Which of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards, and when were they nominated?",24
21257,"When did Anthony Alonzo win Metro Manila Film Festival awards and for which works, respectively?",3
9053,What were the lead roles played by Minal Khan in 2017?,77
17677,What were the Peak Positions on the Mainstream chart of three New Medicine's singles in 2010 and 2011?,55
2127,What were the results of the 1956 United States presidential election in Wyoming?,19
15547,How was Hawkins doing in the 2014 Commonwealth Games?,3
320,Did Joshua Jackson ever star in the Simpsons?,334
20746,What year did Allkja play for Elbasani in the Albanian Second Division?,4
21526,"Where did Marcos Acuña have the most matches, goals, and assists totals and assists and how many of each did he have.?",87
1431,Do any cities have more than one museum?,9
1516,What was Owen McDonnell's first role for something made by RTE?,358
16773,"What were Fofana's times, events, and venues in 2015 and 2016?",91
12510,What are the populations of the three largest ethnic groups?,1
9796,"What were the minimum and maximum prizes earned, and who won the least?",10
20887,What club and league did Giourkas Seitaridis appear in for the 2003–04 season?,4
9080,How many workers in Main work were engaged as cultivators and Agricultural Labourers?,35
717,When and where did Sampson star as “Ozzy”?,459
21182,Who were the winner and runner up in the 2016 presidential election in New Jersey?,2
7921,"What kind of voice work did Shelly Blond do in 2007 and 2014, and in which productions?",328
10226,Who won the election and by how many seats?,70
17674,What was Thunder doing in the 2011 movie Padam Padam?,1127
11222,What was the total number of houses and the male and female population of Bhandal Bet?,56
1811,"Which categories of Tony Awards did ""A View from the Bridge"" win?",53
21241,What ratio of total votes did Pierre Bertho earn during the 1946 Dahomey and Togo by-election?,1
14571,How many stations does Koumi Line have altogether and what are they?,3
21603,When did Alessandra Negrini comprise the role of Clara in what movie?,1074
1507,Was is the latest IETF standards documentation and when was it released?,28
12107,What percentage of votes held the 1940 Bow and Bromley election seat for labour?,12
21092,How many votes did Judith Flanagan Kennedy defeat Clancy with in 2009?,1
14990,"In which locations did Keila Costa compete in late May and early June, and how did she perform in late May?",24
11319,Which television series did Morgan simultaneously appear in 2005 and 2006?,149
8404,Has Alexandria Daddario reprised any of her roles for multiple films?,1282
20761,What percentage of the vote did each candidate receive?,49
11374,Which films did Raghava Lawrence act in 2000?,3
21057,What channel and definition did The U Too began broadcasting on?,40
10055,What happened to the two heaviest ships Gerhard Bigalk attacked?,18
13051,"What singles did Baby D release in 1995 and 1996, and which album were they from?",22
1870,"What awards did Patricia Routledge win for producing ""Keeping Up Appearances""?",1
1775,Did George Rose win any awards for Featured Actor?,411
2289,What awards did Amber Kuo receive for starring in the film The Year of Happiness and Love?,14
706,When did ANA fly its last flight of Airbus A321-100?,1
20704,Who played in Johnson's of Native Son?,446
7867,What are some television series that Andy Gross appeared as a ventriloquist?,603
8564,Which roles did Olivia Cooke star in?,702
11699,In which Marathi language shows did Hattangad act?,2
1792,What Off-Broadway roles did Patti Murin play?,138
21407,What television roles did Talitha Bateman play in 2014 and 2015?,1072
945,Which single-episode role did Julie Warner play in 2009?,42
7932,"Who was Speakers of the House of Representatives of Yemen until 1993, and who replaced him?",31
8302,Who was God's Army 2: States of Grace (2005) directed by and which two films were also directed by the same director?,1
12409,When and in what play did Brooks Ashmanskas appear as Alan?,59
9726,Which roles did Brandt play in 2011?,56
21213,Which Grammy Award did Aguilera win in 2004 and what song was it for?,97
7979,What songs did CJ Baran produce for Carly Rae Jepsen and for what album?,1
12360,What awards did Kapoor & Sons win and was nominated for?,75
21594,"In 2005 and 2006, which Telugu language films did Santhoshi appear in?",127
1488,Does Oklahoma have any indoor football teams?,1
11646,What were the results of Conor Dwyer and Connor Jaeger?,1
10069,"What is the height, drop and length of the new roller coaster made by Rocky Mountain Construction?",2
2112,How did the Liberal Party do on the Two-party-preferred result?,116
1842,Who won Oklahoma in the 1940 presidential election and by how much?,159
11757,Which two videos did Gary Dourdan appear in for Janet Jackson and Eric B and Rakim?,27
14447,"What were Gillian Anderson's appearances in 2005, 2010, 2011, and continuously from 2013-2015?",974
9532,Who did Dianna Agron play in Midnight: Life Behind Bars and CSI:NY?,154
8162,"When did James Hamilton Lewis (D), James M. Slattery (D), and  Charles W. Brooks (R) were formally installed?",3
21550,What awards and nominations did the telenova Verdades Secretas earn at the 2016 International Emmy Awards?,27
8458,Who were the last two finishers in the women's 200 metre individual medley at the 2012 Summer Olympics and what were their times?,278
8961,How did Judd do compared to Marc Murphy and Brendan Fevola in the 2008 Carlton Football Club season?,6
10097,"What roles did Johanna Wokalek play in Silent Resident and North Face, respectively?",626
20779,W'hat country did Leandro de Oliveira represent at the 2011 World Cross Country Championships and how did he place?,59
10585,Which British steamers did UB-16 sink in April 1916?,3
7941,In which titles does Jo Hartley appear as a character whose name begins with C?,78
